اسم المرفق,النوع,نوع المنشأة,القطاع,الحالة التشغيلية,المحافظة,المديرية
عياده د. اقبال سلام مسعود,عيادة,نساء وولاده,خاص,-,امانة العاصمه,السبعين
عياده اكرم المرفدي لطب النساء والولاده,عيادة,نساء وولاده,خاص,-,امانة العاصمه,السبعين
عياده الهام الظليمي,عيادة,باطنيه وكلى,خاص,-,امانة العاصمه,السبعين
عياده امل الرياشي,عيادة,امراض نفسيه,خاص,-,امانة العاصمه,السبعين
عياده امه القوي الشبيبي,عيادة,نساء وولاده,خاص,-,امانة العاصمه,السبعين
عياده اميره الغويدي,عيادة,نساء وولاده,خاص,-,امانة العاصمه,السبعين
عياده ايناس دماج,عيادة,امراض الدم,خاص,-,امانة العاصمه,السبعين
عياده بلقيس التهامي,عيادة,طب البدانه,خاص,-,امانة العاصمه,السبعين
عياده جيهان عبدالمغني,عيادة,نساء وولاده,خاص,-,امانة العاصمه,السبعين
عياده د. حنان العديني -نساء وولاده,عيادة,نساء وولاده,خاص,-,امانة العاصمه,السبعين
عياده حنان كلينك,عيادة,جلديه وتناسليه,خاص,-,امانة العاصمه,السبعين
عياده خالد النزيلي,عيادة,عظام,خاص,-,امانة العاصمه,السبعين
عياده خوله المخلافي,عيادة,نساء وولاده,خاص,-,امانة العاصمه,السبعين
عياده ذي يزن راجح,عيادة,عظام,خاص,-,امانة العاصمه,السبعين
عياده رافت الشرجبي,عيادة,قلب,خاص,-,امانة العاصمه,السبعين
عياده رباب المريسي,عيادة,نساء وولاده,خاص,-,امانة العاصمه,السبعين
عياده رغداء المثيل لطب النساء والولاده,عيادة,نساء وولاده,خاص,-,امانة العاصمه,السبعين
عياده رنا عبدالستار,عيادة,نساء وولاده,خاص,-,امانة العاصمه,السبعين
عياده نساء وولاده,عيادة,نساء وولاده,خاص,-,امانة العاصمه,السبعين
عياده جلديه,عيادة,جلديه وتناسليه,خاص,-,امانة العاصمه,السبعين
عياده روزادا لتقويم وتجميل الاسنان,عيادة,تقويم وتجميل الاسنان,خاص,-,امانة العاصمه,السبعين
عياده سابره المريسي - جلديه,عيادة,جلديه وتناسليه,خاص,-,امانة العاصمه,السبعين
عياده سلوى الحمدي,عيادة,نساء وولاده,خاص,-,امانة العاصمه,السبعين
عياده د. سهيل عبدالله سلام لامراض القلب,عيادة,قلب واوعيه دمويه,خاص,-,امانة العاصمه,السبعين
عياده شرف الدين العودي,عيادة,غدد صماء,خاص,-,امانة العاصمه,السبعين
عياده شريفه الحمادي,عيادة,نساء وولاده,خاص,-,امانة العاصمه,السبعين
عياده شهرزاد باعلوي,عيادة,اطفال,خاص,-,امانة العاصمه,السبعين
العياده الاستشاريه لطب الاطفال وحديثي الولاده,عيادة,اطفال,خاص,-,امانة العاصمه,السبعين
عياده د. صالح عبدالرحمن,عيادة,طب عام,خاص,-,امانة العاصمه,السبعين
عياده عائشه الحضرمي,عيادة,جلديه وتناسليه,خاص,-,امانة العاصمه,السبعين
عياده عبدالقادر العبسي لامراض الباطنيه,عيادة,باطنيه,خاص,-,امانة العاصمه,السبعين
عياده عبدالقوي العريفي,عيادة,باطنيه,خاص,-,امانة العاصمه,السبعين
عياده العون للاورام,عيادة,اورام,خاص,-,امانة العاصمه,السبعين
عياده عبدالله محرم,عيادة,علاج طبيعي,خاص,-,امانة العاصمه,السبعين
عياده ابراهيم الفلاح,عيادة,-,خاص,-,امانة العاصمه,السبعين
عياده د. عبدالوهاب المذحجي,عيادة,اطفال,خاص,-,امانة العاصمه,السبعين
عياده عبده الصبري,عيادة,انف واذن وحنجره,خاص,-,امانة العاصمه,السبعين
عياده د. عصام الاستشاريه,عيادة,باطنيه,خاص,-,امانة العاصمه,السبعين
عياده علا عبدالستار,عيادة,جلديه وتناسليه,خاص,-,امانة العاصمه,السبعين
عياده علي دوعن,عيادة,جراحه عامه,خاص,-,امانة العاصمه,السبعين
عياده د. علي مصطفى الحمزي,عيادة,عظام,خاص,-,امانة العاصمه,السبعين
عياده د. فضل الوصابي لامراض النساء و الولاده,عيادة,نساء وولاده,خاص,-,امانة العاصمه,السبعين
كوكب حسين الحباري,عيادة,نساء وولاده,خاص,-,امانة العاصمه,السبعين
عياده لمياء القباطي,عيادة,نساء وولاده,خاص,-,امانة العاصمه,السبعين
عياده ليلى المزلم لامراض النساء والولاده,عيادة,نساء وولاده,خاص,-,امانة العاصمه,السبعين
عياده د. لينا العامري,عيادة,جلديه وتناسليه,خاص,-,امانة العاصمه,السبعين
عياده محمد الحرازي,عيادة,عيون,خاص,-,امانة العاصمه,السبعين
عياده محمد مسعود,عيادة,عيون,خاص,-,امانة العاصمه,السبعين
عياده محمد شرف,عيادة,عظام,خاص,-,امانة العاصمه,السبعين
عياده محمد الدوبلي,عيادة,جراحه عامه,خاص,-,امانة العاصمه,السبعين
عياده محمد شمس الدين,عيادة,مخ واعصاب وعمود فقري,خاص,-,امانة العاصمه,السبعين
عياده محمد نعمان,عيادة,تناسليه,خاص,-,امانة العاصمه,السبعين
عياده الصفوه لطب العيون,عيادة,عيون,خاص,-,امانة العاصمه,السبعين
عياده مروه هائل,عيادة,اطفال,خاص,-,امانة العاصمه,السبعين
عياده مصطفى عاطف,عيادة,عظام,خاص,-,امانة العاصمه,السبعين
عياده مطهر العريقي,عيادة,عظام,خاص,-,امانة العاصمه,السبعين
عياده ناصر الحارثي للجراحه,عيادة,جراحه عامه,خاص,-,امانة العاصمه,السبعين
عياده نبيل نعمان,عيادة,نفسيه,خاص,-,امانة العاصمه,السبعين
عياده نجلاء الغراسي,عيادة,نساء وولاده,خاص,-,امانة العاصمه,السبعين
عياده الرشاقه والجمال,عيادة,تغذيه علاجيه,خاص,-,امانة العاصمه,السبعين
عياده نجيب القباطي,عيادة,اطفال,خاص,-,امانة العاصمه,السبعين
عياده نسيم شبيل,عيادة,جلديه وتناسليه,خاص,-,امانة العاصمه,السبعين
عياده نشوان الصلوي,عيادة,جلديه وتناسليه,خاص,-,امانة العاصمه,السبعين
عياده د. نوره نور الدين - اطفال,عيادة,جلديه وتناسليه,خاص,-,امانة العاصمه,السبعين
عياده نوفل الاشحب,عيادة,جلديه وتناسليه,خاص,-,امانة العاصمه,السبعين
عياده د. هدى هواش,عيادة,نساء وولاده,خاص,-,امانة العاصمه,السبعين
عياده هدى بافقير,عيادة,نساء وولاده,خاص,-,امانة العاصمه,السبعين
عياده وسيم الزنم,عيادة,مسالك بوليه,خاص,-,امانة العاصمه,السبعين
عياده وفاء العبسي,عيادة,نساء وولاده,خاص,-,امانة العاصمه,السبعين
عياده وليد حمود,عيادة,عظام,خاص,-,امانة العاصمه,السبعين
عياده وهيب القباطي,عيادة,جرحه عامه,خاص,-,امانة العاصمه,السبعين
عياده وئام الخطيب,عيادة,نساء وولاده,خاص,-,امانة العاصمه,السبعين
عياده كنان للاسعافات الاوليه,عيادة,اسعافات اولية,خاص,-,امانة العاصمه,السبعين
عياده الرساله,عيادة,اسعافات اولية,خاص,-,امانة العاصمه,السبعين
عياده عطان,عيادة,اسعافات اولية,خاص,-,امانة العاصمه,السبعين
عياده بلسم الشفاء,عيادة,اسعافات اولية,خاص,-,امانة العاصمه,السبعين
عياده الحسين,عيادة,اسعافات اولية,خاص,-,امانة العاصمه,السبعين
عياده ترست,عيادة,اسعافات اولية,خاص,-,امانة العاصمه,السبعين
عياده كريم,عيادة,اسعافات اولية,خاص,-,امانة العاصمه,السبعين
عياده اسعافات اوليه,عيادة,اسعافات اولية,خاص,-,امانة العاصمه,السبعين
عياده دنيا الصحه,عيادة,اسعافات اولية,خاص,-,امانة العاصمه,السبعين
العياده النموذجيه,عيادة,اسعافات اولية,خاص,-,امانة العاصمه,السبعين
عياده تداوي للاسعافات الاوليه,عيادة,اسعافات اولية,خاص,-,امانة العاصمه,السبعين
عياده البلسم,عيادة,اسعافات اولية,خاص,-,امانة العاصمه,السبعين
عياده الملك,عيادة,اسعافات اولية,خاص,-,امانة العاصمه,السبعين
عياده الخلود للاسعافات الاوليه,عيادة,اسعافات اولية,خاص,-,امانة العاصمه,السبعين
عياده الامل 2,عيادة,اسعافات اولية,خاص,-,امانة العاصمه,السبعين
عياده الفؤاد,عيادة,اسعافات اولية,خاص,-,امانة العاصمه,السبعين
عياده الاخلاص,عيادة,اسعافات اولية,خاص,-,امانة العاصمه,السبعين
عياده النهضه للاسعافات الاوليه,عيادة,اسعافات اولية,خاص,-,امانة العاصمه,السبعين
عياده دار الدواء,عيادة,اسعافات اولية,خاص,-,امانة العاصمه,السبعين
عياده امواج الحكمه  للاسعافات الاوليه,عيادة,اسعافات اولية,خاص,-,امانة العاصمه,السبعين
عياده الواحه,عيادة,اسعافات اولية,خاص,-,امانة العاصمه,السبعين
مستشفى ابن سيناء التخصصي,مستشفى عام,نساء وولاده - جراحه عامه - مخ واعصاب - عظام - مسالك بوليه - غسيل كلوي - زراعه كلى - انف واذن وحنجره - مقطعيه - باطنيه - أطفال,خاص,-,امانة العاصمه,الوحده
مستشفى الرشاد للطب النفسي,مستشفى تخصصي,تخصصي/ امراض نفسيه وعصبيه,خاص,-,امانة العاصمه,الوحده
مستشفى العلياء الدولي,مستشفى عام,نساء وولاده - جراحه عامه - مخ واعصاب - عظام - مسالك بوليه - انف واذن وحنجره - مناظير وجهاز هظمي - مقطعيه - اسنان - باطنيه - أطفال,خاص,-,امانة العاصمه,الوحده
مستشفى سيبلاس التخصصي,مستشفى تخصصي,نساء وولاده - جراحه عامه - مسالك بوليه - اطفال الانابيب - اسنان - أطفال,خاص,-,امانة العاصمه,الوحده
مستشفى مغربي التخصصي,مستشفى تخصصي,تخصصي/ طب وجراحه العيون,خاص,-,امانة العاصمه,الوحده
مستشفى ابن الهيثم التخصصي,مستشفى تخصصي,تخصصي/ عيون,خاص,-,امانة العاصمه,الوحده
مستشفى الجزائر التخصصي,مستشفى تخصصي,تخصصي/ عظام - جراحه عامه,خاص,-,امانة العاصمه,الوحده
مستشفى الاهلي الحديث,مستشفى عام,نساء وولاده - جراحه عامه - مخ واعصاب - عظام - مسالك بوليه - انف واذن وحنجره - مقطعيه - اسنان - باطنيه - أطفال,خاص,-,امانة العاصمه,الوحده
مستشفى المدينه النموذجي,مستشفى عام,نساء وولاده - جراحه عامه - مخ واعصاب - عظام - مسالك بوليه - انف واذن وحنجره - اسنان - باطنيه - أطفال,خاص,-,امانة العاصمه,الوحده
مستشفى الجراحون العرب,مستشفى تخصصي,جراحه عامه - مخ واعصاب,خاص,-,امانة العاصمه,الوحده
مستشفى الرياده للطب النفسي,مستشفى تخصصي,امراض نفسيه,خاص,-,امانة العاصمه,الوحده
مركز شاهر الشيباني التخصصي,مركز,جراحي تخصص جراحه عامه,خاص,-,امانة العاصمه,الوحده
مركز صنعاء التخصصي,مركز,جراحي تخصص انف واذن وحنجره,خاص,-,امانة العاصمه,الوحده
المركز الاستشاري المجري السلوفاكي التخصصي لامراض وجراحه العظام والمناظير,مركز,تخصصي جراحه عظام,خاص,-,امانة العاصمه,الوحده
مركز الرساله الطبي الجراحي,مركز,جراحي تخصص  نساء وولاده - عظام - جراحه عامه - انف واذن وحنجره,خاص,-,امانة العاصمه,الوحده
مركز السمع الوطني (جراحه E.N.T),مركز,جراحي تخصص انف واذن وحنجره,خاص,-,امانة العاصمه,الوحده
مركز نور اليمن الاستشاري,مركز,جراحي تخصص عيون + E.N.T,خاص,-,امانة العاصمه,الوحده
مركز عنايه للانف والاذن والحنجره,مركز,جراحي تخصص انف واذن وحنجره,خاص,-,امانة العاصمه,الوحده
مركز الشرفي التخصصي لامراض الانف والاذن والحنجره,مركز,جراحي تخصص انف واذن وحنجره,خاص,-,امانة العاصمه,الوحده
مركز كيور لجراحه الحروق والتجميل,مركز,جراحي تخصصي حروق وتجميل,خاص,-,امانة العاصمه,الوحده
مركز طلال الاستشاري لطب العيون,مركز,جراحي تخصص عيون,خاص,-,امانة العاصمه,الوحده
مركز رواد النور,مركز,جراحي تخصص عيون,خاص,-,امانة العاصمه,الوحده
مركز كوينز,مركز,تخصصي جلديه وتجميل,خاص,-,امانة العاصمه,الوحده
المركز الاستشاري لامراض الكلى,مركز,تخصصي كلى ومسالك بوليه,خاص,-,امانة العاصمه,الوحده
مركز الكميم الطبي,مركز,تخصصي نساء وولاده,خاص,-,امانة العاصمه,الوحده
مركز المخ والاعصاب د.محمد سلام,مركز,تخصصي مخ واعصاب,خاص,-,امانة العاصمه,الوحده
مركز اليمن لامراض وجراحه القلب,مركز,تخصصي قسطره قلبيه,خاص,-,امانة العاصمه,الوحده
مركز جلامور للتجميل,مركز,تخصصي جلديه وتجميل,خاص,-,امانة العاصمه,الوحده
مركز جنوى الطبي,مركز,تخصصي قلب,خاص,-,امانة العاصمه,الوحده
مركز د صالح با ضاوي للتجميل,مركز,جلديه وتناسليه,خاص,-,امانة العاصمه,الوحده
مركز د. احمد البارده,مركز,تشخيصي اشعه اورام,خاص,-,امانة العاصمه,الوحده
مركز د. محمد الشرجبي,مركز,تخصصي حروق وتجميل وزراعه الشعر,خاص,-,امانة العاصمه,الوحده
مركز زبيده العمري الطبي,مركز,تخصصي نساء وولاده,خاص,-,امانة العاصمه,الوحده
مركز د عبدالرحمن إسحاق,مركز,تخصصي اطفال,خاص,-,امانة العاصمه,الوحده
مركز كليوباترا للامراض الجلديه,مركز,تخصصي جلديه,خاص,-,امانة العاصمه,الوحده
مركز د منصور العمراني الطبي لامراض الكبد,مركز,تخصصي امراض الكبد - مناظير,خاص,-,امانة العاصمه,الوحده
مركز العيون التخصصي,مركز,تخصصي عيون,خاص,-,امانة العاصمه,الوحده
مركز بديع المخلافي,مركز,تخصصي قلب,خاص,-,امانة العاصمه,الوحده
مركز د جلال العبسي للامراض الجلديه والتناسليه والعقم,مركز,تخصصي جلديه وتناسليه وعقم,خاص,-,امانة العاصمه,الوحده
مركز سلوى الغميري,مركز,تخصصي نساء وولاده,خاص,-,امانة العاصمه,الوحده
مركز نونا للتجميل,مركز,تخصصي جلديه وتجميل,خاص,-,امانة العاصمه,الوحده
مركز امراض الكبد,مركز,تخصص كبد,خاص,-,امانة العاصمه,الوحده
مركز دار السلام الطبي,مركز,اورام,خاص,-,امانة العاصمه,الوحده
مركز طب الاطفال,مركز,اطفال,خاص,-,امانة العاصمه,الوحده
مركز النعامي الطبي,مركز,اطفال,خاص,-,امانة العاصمه,الوحده
مركز الاصبحي للعيون,مركز,عيون,خاص,-,امانة العاصمه,الوحده
مركز الباطنيه,مركز,اطفال,خاص,-,امانة العاصمه,الوحده
مركز يحيى الحداد لامراض القلب,مركز,قلب,خاص,-,امانة العاصمه,الوحده
مركز   مروان شجاع الدين,مركز,نساء وولاده,خاص,-,امانة العاصمه,الوحده
مركز  الطب النفسي,مركز,امراض نفسيه وعصبيه,خاص,-,امانة العاصمه,الوحده
مركز رعايتي النفسي,مركز,تخصصي امراض نفسيه وعصبيه,خاص,-,امانة العاصمه,الوحده
مركز الزبيري سكان,مركز,تشخيصي اشعه,خاص,-,امانة العاصمه,الوحده
مركز صنعاء للاشعه,مركز,تخصصي اشعه ومختبرات,خاص,-,امانة العاصمه,الوحده
مركز سام سكان للاشعه التشخيصيه,مركز,اشعه تشخيصيه,خاص,-,امانة العاصمه,الوحده
مركز العرب للاشعه,مركز,تشخيصي اشعه,خاص,-,امانة العاصمه,الوحده
مركز نيوسكان التشخيصي,مركز,اشعه - مختبر,خاص,-,امانة العاصمه,الوحده
مركز رنين اسكان,مركز,اشعه تشخيصيه,خاص,-,امانة العاصمه,الوحده
مركز المدينه التشخيصي,مركز,تخصصي اشعه + مختبر,خاص,-,امانة العاصمه,الوحده
مركز رواد اليمن,مركز,اشعه - مختبر عيادات,خاص,-,امانة العاصمه,الوحده
مركز الخمسين الطبي التشخيصي,مركز,طبي تشخيصي,خاص,-,امانة العاصمه,الوحده
المركز السوري الطبي,مركز,عام,خاص,-,امانة العاصمه,الوحده
مركز بولي كلينك صنعاء الطبي,مركز,عام,خاص,-,امانة العاصمه,الوحده
مركز جمجوم الطبي,مركز,عام,خاص,-,امانة العاصمه,الوحده
مركز قمه الخبراء الطبي,مركز,باطنيه - اطفال - نساء وولاده - انف واذن وحنجره - مسالك بوليه - عظام,خاص,-,امانة العاصمه,الوحده
مركز رضا الميتمي,مركز,نساء وولاده - باطنيه - اطفال,خاص,-,امانة العاصمه,الوحده
مركز حياتي الطبي,مركز,عام,خاص,-,امانة العاصمه,الوحده
مركز سام لاند الطبي,مركز,عام,خاص,-,امانة العاصمه,الوحده
مركز عالم الطب,مركز,عام,خاص,-,امانة العاصمه,الوحده
مركز عصر الطبي,مركز,عام,خاص,-,امانة العاصمه,الوحده
مركز نور كير الطبي,مركز,عام,خاص,-,امانة العاصمه,الوحده
مركز اطباء الرياده,مركز,باطنيه - جلديه - مخ واعصاب,خاص,-,امانة العاصمه,الوحده
مركز عصده للابر الصينيه,مركز,طب البديل,خاص,-,امانة العاصمه,الوحده
مركز علاج طبيعي,مركز,علاج طبيعي,خاص,-,امانة العاصمه,الوحده
مركز اسعاد للعلاج الطبيعي,مركز,تخصصي علاج طبيعي,خاص,-,امانة العاصمه,الوحده
مركز البسمه للعلاج الطبيعي,مركز,تخصصي علاج طبيعي,خاص,-,امانة العاصمه,الوحده
مركز التحدي للعلاج الطبيعي,مركز,تخصصي علاج طبيعي,خاص,-,امانة العاصمه,الوحده
مركز الدار الالمانيه للعلاج الفيزيائي,مركز,تخصصي علاج طبيعي,خاص,-,امانة العاصمه,الوحده
مركز خطوه عزم,مركز,تخصصي علاج طبيعي,خاص,-,امانة العاصمه,الوحده
مركز ديسك للعلاج الطبيعي,مركز,تخصصي علاج طبيعي,خاص,-,امانة العاصمه,الوحده
مركز روافد الامل للعلاج الطبيعي,مركز,تخصصي علاج طبيعي,خاص,-,امانة العاصمه,الوحده
مركز فيزيوكير,مركز,تخصصي علاج طبيعي,خاص,-,امانة العاصمه,الوحده
مركز لمسه الشفاء للعلاج الطبيعي,مركز,تخصصي علاج طبيعي,خاص,-,امانة العاصمه,الوحده
مركز نسمه بلسم الحياه,مركز,تخصصي علاج طبيعي,خاص,-,امانة العاصمه,الوحده
مركز همم عاليه للعلاج الطبيعي,مركز,تخصصي علاج طبيعي,خاص,-,امانة العاصمه,الوحده
مركز يونيك للعالج الطبيعي,مركز,تخصصي علاج طبيعي,خاص,-,امانة العاصمه,الوحده
اشعه رؤيه,اشعة,اشعه,خاص,-,امانة العاصمه,الوحده
الياسمين للاشعه,اشعة,تخصص تلفزيون - ماموجراف,خاص,-,امانة العاصمه,الوحده
اشعه ثري دي,اشعة,اشعه,خاص,-,امانة العاصمه,الوحده
هايتك لاشعه الاسنان,اشعة,بانوراما,خاص,-,امانة العاصمه,الوحده
الوليد لاشعه الرقميه,اشعة,بانوراما,خاص,-,امانة العاصمه,الوحده
كشافه الجزيره للاشعه,اشعة,اكس - راي,خاص,-,امانة العاصمه,الوحده
كشافه راي وان,اشعة,بانوراما,خاص,-,امانة العاصمه,الوحده
كشافه المدينه التشخيصيه,اشعة,تخصص سينيه - تلفزيون,خاص,-,امانة العاصمه,الوحده
المركز العربي لطب الاسنان,مركز,تخصصي اسنان,خاص,-,امانة العاصمه,الوحده
المركز المصري,مركز,تخصصي اسنان,خاص,-,امانة العاصمه,الوحده
مركز اكس بي,مركز,تخصصي اسنان,خاص,-,امانة العاصمه,الوحده
مركز الخبرات,مركز,تخصصي اسنان,خاص,-,امانة العاصمه,الوحده
مركز العيادات الحديثه,مركز,تخصصي اسنان,خاص,-,امانة العاصمه,الوحده
مركز المنار دنتل سنتر للاسنان,مركز,تخصصي اسنان,خاص,-,امانة العاصمه,الوحده
مركز بشار اسحاق لطب الاسنان,مركز,تخصصي اسنان,خاص,-,امانة العاصمه,الوحده
مركز تجميل وتقويم الاسنان,مركز,تخصصي اسنان,خاص,-,امانة العاصمه,الوحده
مركز زيركون هاوس,مركز,تخصصي اسنان,خاص,-,امانة العاصمه,الوحده
مركز غمدان لطب الاسنان,مركز,تخصصي اسنان,خاص,-,امانة العاصمه,الوحده
مركز كاريزما,مركز,اسنان - جلديه,خاص,-,امانة العاصمه,الوحده
مركز ايلان لتجميل البشره والاسنان,مركز,اسنان وتجميل البشره,خاص,-,امانة العاصمه,الوحده
مركز د نصر القديمي لطب الاسنان,مركز,تخصصي اسنان,خاص,-,امانة العاصمه,الوحده
مركز دنتا رايز لطب الاسنان,مركز,تخصصي اسنان,خاص,-,امانة العاصمه,الوحده
مركز طب اسنان,مركز,تخصصي اسنان,خاص,-,امانة العاصمه,الوحده
مركز بن حفيظ لطب الاسنان,مركز,تخصصي اسنان,خاص,-,امانة العاصمه,الوحده
مركز المطلب لطب الاسنان,مركز,تخصصي اسنان,خاص,-,امانة العاصمه,الوحده
مركز اجمل لطب الاسنان,مركز,تخصصي اسنان,خاص,-,امانة العاصمه,الوحده
مركز راما لطب الاسنان,مركز,تخصصي اسنان,خاص,-,امانة العاصمه,الوحده
مركز طب اسنان,مركز,تخصصي اسنان,خاص,-,امانة العاصمه,الوحده
مركز اسنان كلينيك,مركز,تخصصي اسنان,خاص,-,امانة العاصمه,الوحده
المركز اليمنى الفرنسي,مركز,تخصصي اسنان,خاص,-,امانة العاصمه,الوحده
مركز ريل بيوتي,مركز,تخصصي اسنان تجميل جلديه,خاص,-,امانة العاصمه,الوحده
عياده ابتكار لطب الفم والاسنان,عيادة,اسنان,خاص,-,امانة العاصمه,الوحده
عياده كوين سمايل,عيادة,اسنان,خاص,-,امانة العاصمه,الوحده
عياده ابتسامه باريس,عيادة,اسنان,خاص,-,امانة العاصمه,الوحده
عياده اروى باوزير,عيادة,اسنان,خاص,-,امانة العاصمه,الوحده
عياده برفكت لطب الاسنان,عيادة,اسنان,خاص,-,امانة العاصمه,الوحده
عياده رويال سمايل,عيادة,اسنان,خاص,-,امانة العاصمه,الوحده
عياده اسرار الابتسامه,عيادة,اسنان,خاص,-,امانة العاصمه,الوحده
عياده ابتسامه القمر,عيادة,اسنان,خاص,-,امانة العاصمه,الوحده
عياده اميزنج سمايل,عيادة,اسنان,خاص,-,امانة العاصمه,الوحده
عياده د. امل جميل,عيادة,اسنان,خاص,-,امانة العاصمه,الوحده
عياده يمان,عيادة,اسنان,خاص,-,امانة العاصمه,الوحده
عياده د. تسنيم النقيب,عيادة,اسنان,خاص,-,امانة العاصمه,الوحده
عياده انس شعمله,عيادة,اسنان,خاص,-,امانة العاصمه,الوحده
عياده حنان المحفدي,عيادة,اسنان,خاص,-,امانة العاصمه,الوحده
عياده سمايا لطب الاسنان,عيادة,اسنان,خاص,-,امانة العاصمه,الوحده
عياده انجل سمايل لطب الاسنان,عيادة,اسنان,خاص,-,امانة العاصمه,الوحده
عياده د. رضوان قائد لطب الاسنان,عيادة,اسنان,خاص,-,امانة العاصمه,الوحده
عياده ابتسامه هوليود,عيادة,اسنان,خاص,-,امانة العاصمه,الوحده
عياده الضياء لطب الاسنان,عيادة,اسنان,خاص,-,امانة العاصمه,الوحده
عياده د. زهور الرياشي لطب الاسنان,عيادة,اسنان,خاص,-,امانة العاصمه,الوحده
عياده ايليت سمايل,عيادة,اسنان,خاص,-,امانة العاصمه,الوحده
عياده شذى اليزيدي,عيادة,اسنان,خاص,-,امانة العاصمه,الوحده
عياده البنفسج لطب الاسنان,عيادة,اسنان,خاص,-,امانة العاصمه,الوحده
عياده شوقي ردمان,عيادة,اسنان,خاص,-,امانة العاصمه,الوحده
عياده صابر الشيباني,عيادة,اسنان,خاص,-,امانة العاصمه,الوحده
عياده سمايل اب,عيادة,اسنان,خاص,-,امانة العاصمه,الوحده
عياده طه الهبل,عيادة,اسنان,خاص,-,امانة العاصمه,الوحده
عياده الدكتور عز الدين السروري لطب الاسنان,عيادة,اسنان,خاص,-,امانة العاصمه,الوحده
عياده دنتوبيا,عيادة,اسنان,خاص,-,امانة العاصمه,الوحده
عياده التميز لطب الاسنان,عيادة,اسنان,خاص,-,امانة العاصمه,الوحده
عياده عمار العرولي,عيادة,اسنان,خاص,-,امانة العاصمه,الوحده
عياده عمرو باحبيشي,عيادة,اسنان,خاص,-,امانة العاصمه,الوحده
عياده عهود يحيى,عيادة,اسنان,خاص,-,امانة العاصمه,الوحده
عياده اوراكيور لطب الاسنان,عيادة,اسنان,خاص,-,امانة العاصمه,الوحده
عياده سمايل دنت,عيادة,اسنان,خاص,-,امانة العاصمه,الوحده
عياده اوزون دنت,عيادة,اسنان,خاص,-,امانة العاصمه,الوحده
عياده برودنت,عيادة,اسنان,خاص,-,امانة العاصمه,الوحده
عياده ابتسامه المشاهير,عيادة,اسنان,خاص,-,امانة العاصمه,الوحده
عياده بي سمايل,عيادة,اسنان,خاص,-,امانة العاصمه,الوحده
عياده د. محمد الدوله,عيادة,اسنان,خاص,-,امانة العاصمه,الوحده
عياده الجرافي,عيادة,اسنان,خاص,-,امانة العاصمه,الوحده
عياده الابداع الحديثه,عيادة,اسنان,خاص,-,امانة العاصمه,الوحده
عياده بياض اللؤلؤ,عيادة,اسنان,خاص,-,امانة العاصمه,الوحده
عياده منال الزرقه,عيادة,اسنان,خاص,-,امانة العاصمه,الوحده
عياده لؤلؤ سمايل,عيادة,اسنان,خاص,-,امانة العاصمه,الوحده
عياده ناجي الخولاني,عيادة,اسنان,خاص,-,امانة العاصمه,الوحده
عياده اسلام لطب الاسنان,عيادة,اسنان,خاص,-,امانة العاصمه,الوحده
عياده ابتسم للحياه,عيادة,اسنان,خاص,-,امانة العاصمه,الوحده
عياده ابتسم بثقه,عيادة,اسنان,خاص,-,امانة العاصمه,الوحده
عياده وفاء جار الله,عيادة,اسنان,خاص,-,امانة العاصمه,الوحده
عياده د. وليد الحاج,عيادة,اسنان,خاص,-,امانة العاصمه,الوحده
عياده وهيب الاصبحي,عيادة,اسنان,خاص,-,امانة العاصمه,الوحده
العياده الاستشاريه لجراحه الوجه,عيادة,اسنان,خاص,-,امانة العاصمه,الوحده
عياده لؤلؤ سمايل,عيادة,اسنان,خاص,-,امانة العاصمه,الوحده
عياده طب الاسنان,عيادة,اسنان,خاص,-,امانة العاصمه,الوحده
عياده طب الاسنان,عيادة,اسنان,خاص,-,امانة العاصمه,الوحده
عياده طب الاسنان,عيادة,اسنان,خاص,-,امانة العاصمه,الوحده
عياده طب اسنان,عيادة,اسنان,خاص,-,امانة العاصمه,الوحده
عياده طب اسنان,عيادة,اسنان,خاص,-,امانة العاصمه,الوحده
عياده لطب الاسنان,عيادة,اسنان,خاص,-,امانة العاصمه,الوحده
عياده عمار لطب الاسنان,عيادة,اسنان,خاص,-,امانة العاصمه,الوحده
عياده بسمه امل للاسنان,عيادة,اسنان,خاص,-,امانة العاصمه,الوحده
عياده اسنان,عيادة,اسنان,خاص,-,امانة العاصمه,الوحده
عياده اسنان,عيادة,اسنان,خاص,-,امانة العاصمه,الوحده
عياده الاسنان,عيادة,اسنان,خاص,-,امانة العاصمه,الوحده
عياده اسنان,عيادة,اسنان,خاص,-,امانة العاصمه,الوحده
عياده اسنان,عيادة,اسنان,خاص,-,امانة العاصمه,الوحده
عياده اسنان,عيادة,اسنان,خاص,-,امانة العاصمه,الوحده
العياده الملكيه لطب الاسنان,عيادة,اسنان,خاص,-,امانة العاصمه,الوحده
معمل اسنان يمن دنت,معمل,معمل اسنان,خاص,-,امانة العاصمه,الوحده
مختبر الدالي,مختبر,عام,خاص,-,امانة العاصمه,الوحده
المختبر الحديث محضر 31,مختبر,عام,خاص,-,امانة العاصمه,الوحده
مختبر الضياء,مختبر,عام,خاص,-,امانة العاصمه,الوحده
مختبر بيوتالاب,مختبر,عام,خاص,-,امانة العاصمه,الوحده
مختبرات اسكوميديا لاب,مختبر,تخصصي,خاص,-,امانة العاصمه,الوحده
